Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity|Streams|TuplesGpuProbe|TuplesGpuConsume
4.37624e+09|4.26093e+10|1.32133|2.95914e+10|3.58191e+10|0|3.10937e+10|7.8941e+09|821040469|8758707|0|272197479|0|536870912|0|16384|16777216|1|15|821040469|821040469
3.86727e+09|3.74578e+10|1.16765|2.63529e+10|8.5507e+09|0|2.72119e+10|7.24202e+09|1073741824|11454090|0|22191476|1|536870912|0|16384|16777216|1|15|788747605|788747605
2.70412e+09|2.65575e+10|0.816463|1.52817e+10|2.13683e+10|0|1.7736e+10|7.84097e+09|920414890|9820060|0|173884411|0|536870912|0|16384|16777216|1|15|920414890|920414890
2.55611e+09|2.51963e+10|0.771774|1.44337e+10|7.46317e+09|0|1.67745e+10|7.51782e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|15|882698922|882698922
4.51447e+09|4.39039e+10|1.36307|3.16082e+10|3.73614e+10|0|3.49098e+10|7.4312e+09|805306368|8589609|0|287762483|0|536870912|0|16384|16777216|1|16|805306368|805306368
4.05691e+09|3.92758e+10|1.22491|2.70959e+10|8.69851e+09|0|2.973e+10|7.48069e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|16|784094549|784094549
2.68332e+09|2.63241e+10|0.81018|1.50375e+10|2.12372e+10|0|1.85983e+10|7.99732e+09|922746880|9845120|0|171577482|0|536870912|0|16384|16777216|1|16|922746880|922746880
2.49691e+09|2.4478e+10|0.7539|1.46931e+10|7.33538e+09|0|1.77106e+10|7.21748e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|16|880590848|880590848
4.49329e+09|4.37138e+10|1.35667|3.13996e+10|3.71903e+10|0|3.51584e+10|7.44395e+09|808304640|8622349|0|284796951|0|536870912|0|16384|16777216|1|17|808304640|808304640
4.03413e+09|3.90965e+10|1.21803|2.67114e+10|8.68471e+09|0|3.02593e+10|7.51849e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|17|788529152|788529152
2.61939e+09|2.5684e+10|0.790878|1.56881e+10|2.14264e+10|0|1.97235e+10|7.34094e+09|915204778|9764798|0|179039261|0|536870912|0|16384|16777216|1|17|915204778|915204778
2.55503e+09|2.51e+10|0.771446|1.55674e+10|7.23248e+09|0|1.9362e+10|7.00597e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|17|867811328|867811328
4.5203e+09|4.37936e+10|1.36483|3.12842e+10|3.72291e+10|0|3.62261e+10|7.60919e+09|809467904|8635164|0|283646502|0|536870912|0|16384|16777216|1|18|809467904|809467904
4.03601e+09|3.89476e+10|1.2186|2.6834e+10|8.63195e+09|0|3.11289e+10|7.43325e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|18|788529152|788529152
2.70027e+09|2.65027e+10|0.8153|1.64132e+10|2.22629e+10|0|2.16563e+10|7.449e+09|909361152|9700634|0|184818724|0|536870912|0|16384|16777216|1|18|909361152|909361152
2.66281e+09|2.60856e+10|0.803989|1.53461e+10|7.49737e+09|0|2.05519e+10|7.42039e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|18|872415232|872415232
4.54534e+09|4.39972e+10|1.37238|3.08924e+10|3.71206e+10|0|3.77362e+10|7.92742e+09|814792704|8692451|0|278378989|0|536870912|0|16384|16777216|1|19|814792704|814792704
4.00583e+09|3.85757e+10|1.20949|2.64944e+10|8.77606e+09|0|3.22703e+10|7.65187e+09|1073741824|11454093|0|22191511|1|536870912|0|16384|16777216|1|19|788529152|788529152
